nazwisko,liczba
SAŁO,57
SCHRÖTER,57
SEMKIV,57
SENKIV,57
SEPSKI,57
SETERNUS,57
SIANKIEWICZ,57
SIBORA,57
SIECZAK,57
SIEPETOWSKI,57
SINKO,57
SKARBA,57
SKOBLEWSKI,57
SKRZYDEŁ,57
SKRĘTOWICZ,57
SKŁADNIKIEWICZ,57
SLAWIK,57
SMAŻYK,57
SMILGIN,57
SMUŻNIAK,57
SOBERSKI,57
STALMASKI,57
STANIECZKO,57
STANIÓRSKI,57
STOLAŚ,57
STRADZA,57
STRUSIEWICZ,57
STRYCHAREK,57
STRYJAKIEWICZ,57
STRZYLAK,57
STRZYMIŃSKI,57
SUFCZYŃSKI,57
SULIBORSKI,57
SWORNOWSKI,57
SZARSKI,57
SZARUBKA,57
SZAŁCZYŃSKI,57
SZCZAPIŃSKI,57
SZCZAŁBA,57
SZCZEKOCKI,57
SZKARADKIEWICZ,57
SZMAGLIK,57
SZOMBORG,57
SZTANDARA,57
SZTOLC,57
SZTWIOROK,57
SZTYMA,57
SZUPRYTOWSKI,57
SZURKIEWICZ,57
SZYMECZEK,57
SŁOMINSKI,57
TADEUSZAK,57
TARAJKO,57
TASZYCKI,57
TEMPIŃSKI,57
TOMASZKOWICZ,57
TOPOR,57
TRENDA,57
TRUCH,57
TRUSZEWSKI,57
TRUŚCIŃSKI,57
TSAP,57
TULEJKO,57
TURBAKIEWICZ,57
TURCAN,57
TUREL,57
TWARDYGROSZ,57
TWOROWSKI,57
TYDE,57
TYLEWSKI,57
TYRAWSKI,57
UCIESZYŃSKI,57
UMERSKI,57
USZACKI,57
VO,57
WABIA,57
WALANCIK,57
WALERIAN,57
WANDELT,57
WAWRZKO,57
WAŁĘSKA,57
WECHTEROWICZ,57
WENDROWSKI,57
WEREMIŃSKI,57
WEREWKA,57
WERNECKI,57
WIDYNA,57
WIELICZKA,57
WIKARJUSZ,57
WIKLOWSKI,57
WILANT,57
WINK,57
WOZIWODZKI,57
WOŁOSIŃSKI,57
WYLAZŁOWSKI,57
WYLĘGAŁA,57
WYREMBSKI,57
WŁADEK,57
WŁOCZEK,57
WŁODARA,57
ZACIEK,57
ZACIOS,57
ZAKRYŚ,57
ZAKĘS,57
ZAWIS,57
ZAĆMIŃSKI,57
ZDROJOWY,57
ZENOWICZ,57
ZGRZENDEK,57
ZIUZIAKOWSKI,57
ZOFIŃSKI,57
ZUZEWICZ,57
ZYCHMA,57
ZYZA,57
ĆMIKIEWICZ,57
ŁABISZAK,57
ŁAKSA,57
ŁANIK,57
ŁAPTOS,57
ŁAŹNIAK,57
ŁOMAKO,57
ŁOWAS,57
ŁUKASKI,57
ŁYDKOWSKI,57
ŚLEDZIOWSKI,57
ŚLICZNIAK,57
ŚRUBA,57
ŚWITLIK,57
ŻARNOWIEC,57
AGAŚ,56
ALTMAJER,56
ANANICZ,56
ANTOŚKIEWICZ,56
ANTROPIK,56
ANTYPIUK,56
ANUSIK,56
ASZURKIEWICZ,56
AŁTYN,56
BACHAR,56
BACHYNSKYI,56
BAJERLEIN,56
BAJGOT,56
BAKALAREK,56
BANDYCH,56
BARDOWSKI,56
BARJASZ,56
BARNIAK,56
BARTYSKA,56
BARZAŁ,56
BAZIŃSKI,56
BEJROWSKI,56
BEKSIAK,56
BENEDYKCZAK,56
BERDYCH,56
BEĆ,56
BIAŁOCH,56
BIELASKA,56
BIELIAIEV,56
BIHUNIAK,56
BIŃKA,56
BLASK,56
BLASZCZOK,56
BOETTCHER,56
BOGIELCZYK,56
BOGOBOWICZ,56
BOJSZA,56
BOKSZCZANIN,56
BORACZYŃSKI,56
BOTTA,56
BRELAK,56
BRYGUŁA,56
BRYMERSKI,56
BUDZYNA,56
BUKAREWICZ,56
BUKOWICKI,56
BUSCH,56
BYLOK,56
BYLSKI,56
BYSTRANOWSKI,56
BĄTOR,56
BĘBEŃCA,56
BĘCZYŃSKI,56
BŁĘDKOWSKI,56
CAPANDA,56
CELNIAK,56
CHAŁACIŃSKI,56
CHERKASHYN,56
CHOMONTEK,56
CHWIEŚKO,56
CIEĆWIERSKI,56
CIURYS,56
CLARKE,56
CONER,56
CZERWIONKE,56
CZERWONOGRODZKI,56
DERACH,56
DERECZENIK,56
DEYK,56
DOMICZ,56
DRWIŁA,56
DRZASTWA,56
DRZEWOWSKI,56
DUBOVYK,56
DUKIEL,56
DYJECIŃSKI,56
DYPOLT,56
DYRDAŁ,56
DYTKIEWICZ,56
DZIAMAŁEK,56
DZIERGA,56
DZIUPIŃSKI,56
EJMOCKI,56
ELLMANN,56
ELSZKOWSKI,56
ENGELHARDT,56
FECOWICZ,56
FEDIRKO,56
FERGON,56
FIDRYSIAK,56
FRIDMAN,56
FROM,56
FRYCZEK,56
FUNDANICZ,56
GAGATKO,56
GAMBKA,56
GARDAŚ,56
GARDZIELIK,56
GARELA,56
GARNUSZEK,56
GAWLYTA,56
GAZECKI,56
GIERCZUK,56
GIEZGAŁA,56
GINTROWICZ,56
GLADOS,56
GLUBIAK,56
GNACEK,56
GNYSIŃSKI,56
GOCEJNA,56
GOLARA,56
GORCZYCZEWSKI,56
GORZELEWSKI,56
GORZĄDEK,56
GOTTSCHLING,56
GRETKIEREWICZ,56
GRILL,56
GROSSMAN,56
GRUNERT,56
GRYNIUK,56
GRĄDZIELEWSKI,56
GULATOWSKI,56
GULDZIŃSKI,56
GÜLER,56
GŁĄBSKI,56
HADZIŃSKI,56
HAMOT,56
HARAŚNY,56
HEBISZ,56
HEGENBARTH,56
HEKERT,56
HEREJ,56
HOCHÓŁ,56
HOFBAUER,56
HOLDENMAJER,56
HONYSZ,56
HORSKI,56
HOŁODNIUK,56
HRABSKI,56
HUDELA,56
HUDZIKOWSKI,56
HULL,56
HUMEN,56
HUZAREWICZ,56
HYSZKO,56
ITCZAK,56
IWANUS,56
JACYK,56
JAKUBOSZCZAK,56
JANCELEWICZ,56
JARMARCZYK,56
JAROCHOWICZ,56
JARZINA,56
JAŁOSZEWSKI,56
JOBCZYŃSKI,56
JONA,56
JOWIK,56
JUROWCZYK,56
JUTROWSKI,56
JÓZEFIOK,56
JÓŚKO,56
JĘDRZEJCZUK,56
KABAK,56
KAJDANEK,56
KALAFARSKI,56
KALICZYŃSKI,56
KAPŁONEK,56
KARACZYN,56
KARAMAN,56
KARCZMAR,56
KAREPIN,56
KARGE,56
KARULSKI,56
KASPROLEWICZ,56
KAZIMIRSKI,56
KAŁĘDKIEWICZ,56
KAŃCZEWSKI,56
KENDYŚ,56
KERL,56
KIEDRZYNEK,56
KIERZNIKOWICZ,56
KINASH,56
KITAJEWSKI,56
KIZIUK,56
KLASŁO,56
KLING,56
KLISZCZYŃSKI,56
KNEBLEWSKI,56
KOCZANOWSKI,56
KOCZBERSKI,56
KOKOSZCZYK,56
KOLADYŃSKI,56
KONDERSKI,56
KONESZKO,56
KONURY,56
KOPIWODA,56
KORABIOWSKI,56
KORINTH,56
KORJAT,56
KORLACKI,56
KORNEĆ,56
KORUCH,56
KOSACZ,56
KOSTURSKI,56
KOSTYCZ,56
KOSUBEK,56
KOSZACKI,56
KOWGIER,56
KOZARYNA,56
KOZIORZEMSKI,56
KOŹLIKOWSKI,56
KRATKOWSKI,56
KRAŚNER,56
KRENCA,56
KRYLOV,56
KRZYNA,56
KRZYSZTANOWICZ,56
KRĘGIELSKI,56
KSIĄG,56
KUBULUS,56
KUCHMA,56
KUCZMIK,56
KUDASZEWICZ,56
KUKUC,56
KULANEK,56
KULESZCZYK,56
KUMOSZ,56
KUNICZUK,56
KUNISZ,56
KURYGA,56
KUSIEWICZ,56
KUZICKI,56
KŁODKOWSKI,56
LABAN,56
LAMPRYCHT,56
LANDMESSER,56
LANGOS,56
LEFLER,56
LEGIETA,56
LEJNERT,56
LEWNAU,56
LINCA,56
LISKOWIAK,56
LISOVSKYI,56
LITERACKI,56
LIZURA,56
LUBLIŃSKI,56
LUSIŃSKI,56
LUSTOFIN,56
LUSZAWSKI,56
LUSZTYK,56
LUTSIV,56
LYTVYNCHUK,56
MACELUCH,56
MACHOWINA,56
MACHUNIK,56
MADYCKI,56
MAGNOR,56
MALEPSZAK,56
MALEROWICZ,56
MALUTY,56
MARIN,56
MARKUC,56
MARO,56
MARUSZA,56
MAZANKIEWICZ,56
MAŁUSZYŃSKI,56
MAŚ,56
MENDRYK,56
MIATKOWSKI,56
MIELICKI,56
MIELOSZYŃSKI,56
MIKOŁAJÓW,56
MINDER,56
MISZTALEWSKI,56
MIĆKA,56
MIŚCIUR,56
MOCIGEMBA,56
MOKROSZ,56
MORENC,56
MOSIICHUK,56
MOSZAK,56
MUDY,56
MUDYN,56
MUZYCHUK,56
MĄKOLA,56
MĘDAK,56
MŁOCZKOWSKI,56
NAGABA,56
NAGIEŁ,56
NEJFELD,56
NIKLAUS,56
NIKOLAICHUK,56
NIŻAŁOWSKI,56
NOWAĆ,56
NOZDRYN-PŁOTNICKI,56
OBCOWSKI,56
OCHĘDOWSKI,56
OCZKI,56
OGIEWA,56
OKOŁOWSKI,56
OKULOWSKI,56
OLESZYCKI,56
ONUCHOWSKI,56
OPASIK,56
OPIELOWSKI,56
ORMIAŃSKI,56
PAKLEPA,56
PAPAJEWSKI,56
PARASIEWICZ,56
PARASZCZUK,56
PASTRYK,56
PAWŁOŚ,56
PAŁAMARZ,56
PAŃSKI,56
PETKO,56
PETRYKÓW,56
PIETRANIUK,56
PIETRUSZKO,56
PIJACZYŃSKI,56
PIJAJKO,56
PLISIŃSKI,56
PODBOROWSKI,56
POSZEPCZYŃSKI,56
POTAŚNIK,56
POTWARDOWSKI,56
POTYRAJ,56
PRASS,56
PRAŻYŃSKI,56
PROTS,56
PUPPEL,56
PUSTELNIAK,56
PYRDEK,56
PYZIOŁ,56
PĘCZYŃSKI,56
PĘSZYŃSKI,56
PŁASKOWICKI,56
PŁOWIK,56
PŁUCISZ,56
PŁUZIŃSKI,56
RAKICKI,56
RATUSIŃSKI,56
RATZ,56
REDKIEWICZ,56
REDZIAK,56
RENIEC,56
RETZLAFF,56
ROBACKI,56
ROCZNIOK,56
ROMOWICZ,56
ROSENTHAL,56
ROZIK,56
ROZUMOWSKI,56
ROŹNIAKOWSKI,56
RYBOK,56
RZEPUS,56
RZEŚNIOWIECKI,56
RZOTKIEWICZ,56
RZYM,56
RZYMANEK,56
RZĘSIEWICZ,56
RĘBKOWSKI,56
SAFIAŃSKI,56
SALEWICZ,56
SAPICH,56
SAWORSKI,56
SAŁADONIS,56
SCISŁOWSKI,56
SENDOBRY,56
SENIV,56
SHEN,56
SIEMIATYCKI,56
SIEWIELEC,56
SIKUT,56
SILIWONIUK,56
SINACKI,56
SIODMOK,56
SIWANOWICZ,56
SKACZYŁO,56
SKICKI,56
SKRABUT,56
SMAGOWICZ,56
SMETANIUK,56
SMOGUŁA,56
SMORONGIEWICZ,56
SOBANIAK,56
SOBIESIEK,56
SOBIESZCZAK,56
SOCZEWICA,56
SOKOŁÓW,56
SOŁDEK,56
SOŁOWIJ,56
SPRAWSKI,56
STACHULAK,56
STAROK,56
STASIV,56
STEPAŃCZUK,56
STOCHNIAŁ,56
STRZEWICZEK,56
SURGAŁ,56
SZARWIŃSKI,56
SZATAŁOWICZ,56
SZELECH,56
SZEMLA,56
SZOŁOMICKI,56
SZPAJER,56
SZPIEGA,56
SZPINDLER,56
SZTAFA,56
SZTUDER,56
SZURMIŃSKI,56
SZUTOWSKI,56
SZWAJCZEWSKI,56
SZYLKIEWICZ,56
TADAJ,56
TAGLEWSKI,56
TELUK,56
TESSAR,56
TIM,56
TOKARCHUK,56
TOPORCZYK,56
TRATWAL,56
TREJDA,56
TREPIŃSKI,56
TROCHYM,56
TROIŃSKI,56
TROT,56
TRUBALSKI,56
TRZOSOWSKI,56
TYMIEC,56
TYRPAK,56
TYSLER,56
ULANIUK,56
URANOWSKI,56
VORONIN,56
WACHCIŃSKI,56
WALLA,56
WANDZLEWICZ,56
WARAS,56
WARDIN,56
WARMUSZ,56
WAWROWICZ,56
WIERZCHOWIECKI,56
WINCIERZ,56
WITKE,56
WITTMANN,56
WIĘSŁAW,56
WLACH,56
WOCŁAWEK,56
WODZICZKO,56
WONTOR,56
WRZECIONEK,56
WSOŁEK,56
WSUŁ,56
WUCZYŃSKI,56
WULW,56
WYWIÓRKA,56
YASINSKYI,56
ZABADAŁA,56
ZATORA,56
ZBIERZCHOWSKI,56
ZBROŚ,56
ZBROŻYNA,56
ZGRZEBA,56
ZMUDZIEJEWSKI,56
ZREDA,56
ZROŚLAK,56
ZWIERSKI,56
ZŁOTKIEWICZ,56
ŁADNOWSKI,56
ŁEZKA,56
ŁOSIEWSKI,56
ŁOŻAŃSKI,56
ŚCIAŃSKI,56
ŚLEPACZUK,56
ŚLIZANKIEWICZ,56
ŚMISTEK,56
ŚWIEBODZIŃSKI,56
ŻYDACZEWSKI,56
ADRYAŃCZYK,55
AFTEWICZ,55
ALEKSANDRÓW,55
ALFUTH,55
AMERNIK,55
ANCHIM,55
ANZULEWICZ,55
BABIN,55
BACHOREK,55
BADAJ,55
BADZIONG,55
BAJEWSKI,55
BALDA,55
BANCEREK,55
BARASZKIEWICZ,55
BARCIOK,55
BARTLIŃSKI,55
BASĄG,55
BAZYLEWSKI,55
BENCAL,55
BERBEŚ,55
BERDAK,55
BEŁDYGA,55
BIALAS,55
BIAŁASEK,55
BIERBASZ,55
BILANT,55
BILEŃSKI,55
BINIASZEWSKI,55
BLADZICH,55
BLAROWSKI,55
BLAUCIK,55
BODNIAK,55
BODZIANY,55
BOLDT,55
BONCZAR,55
BONTAL,55
BORKOWY,55
BOZOWSKI,55
BRANAS,55
BRESLER,55
BRETES,55
BRILL,55
BRONDEL,55
BRZENSKA,55
BUCHNAJZER,55
BUCHNAT,55
BUDAS,55
BUKOWIAN,55
BURNÓG,55
BURYN,55
BYBA,55
BZDEL,55
BÓGDAŁ,55
CAPIŃSKI,55
CHACEWICZ,55
CHARYTONOWICZ,55
CHEŁMINIACKI,55
CHLIPALSKI,55
CHMIELINA,55
CHMURCZYK,55
CHOMYCZ,55
CHOROWSKI,55
CHOŁYST,55
CHRUSTOWICZ,55
CHWIAŁKIEWICZ,55
CHYNAŁ,55
CHĘSY,55
CIANCIARA,55
CIEKALSKI,55
CIENKUS,55
CIEPIEL,55
CIOMPERLIK,55
CIUCHCIŃSKI,55
COŁTA,55
CYMOREK,55
CYPRIAN,55
CZULEWICZ,55
DADZIAK,55
DALBIAK,55
DANYLCHUK,55
DARGAS,55
DAŁOMIS,55
DEBERT,55
DELMANOWICZ,55
DENDERSKI,55
DOBRIANSKYI,55
DOMIZA,55
DOMSZY,55
DOROŚ,55
DROBCZYK,55
DROCHLIŃSKI,55
DRUTEL,55
DRUZIC,55
DRYŁO,55
DUBANOWICZ,55
DUNAJCZAN,55
DWORSZCZAK,55
DYBIOCH,55
DYBKO,55
DYDACKI,55
DYKSY,55
DYWELSKI,55
DYŃKA,55
DZIADYKIEWICZ,55
DZIERMAŃSKI,55
DZIEŁAKOWSKI,55
DZIOMBA,55
DZIUBANOWSKI,55
DZIURKIEWICZ,55
DĄDZIK,55
ELIKS,55
EREMUS,55
ESZER,55
EZMAN,55
FABJAN,55
FABRYCY,55
FEDUS,55
FERLEWICZ,55
FERSZ,55
FIDOWICZ,55
FOBKE,55
FOJUTH,55
FOLMER,55
GADAMSKI,55
GALOWY,55
GARBIŃSKI,55
GAWLINA,55
GAŁAJDA,55
GDYNIA,55
GIEBUŁTOWSKI,55
GLOWANIA,55
GLĄDYS,55
GOLEMBA,55
GOZDYRA,55
GOŁĘBNIAK,55
GOŚĆ,55
GROCHAŁA,55
GRUCHOCIAK,55
GRUDEK,55
GRUSZKO,55
GRYGIELEWICZ,55
GRYSZCZYK,55
GRZECHULSKI,55
GRĘDZICKI,55
GUGLAS,55
GUZIEROWICZ,55
GWOZDECKI,55
GĄSŁOWSKI,55
GĘŚLOWSKI,55
GŁADZIK,55
GŁATKI,55
HACHUJ,55
HACUŚ,55
HAJDZIONY,55
HAMER,55
HAMPF,55
HERCKA,55
HOINKIS,55
HOŁOWIAK,55
HOŃKO,55
HRYNYK,55
HRYTSAK,55
HUMBLA,55
HURSKYI,55
HYNOWSKI,55
IGLIKOWSKI,55
IGNEROWICZ,55
IMBURSKI,55
JABŁCZYK,55
JAEGER,55
JANISIAK,55
JARMOSZ,55
JUHNKE,55
JUNGER,55
KAJDZIK,55
KALEŃSKI,55
KALITYŃSKI,55
KAMEL,55
KAPIS,55
KAPITANIAK,55
KAPUSTYŃSKI,55
KARANDYS,55
KARKUCIŃSKI,55
KASIETCZUK,55
KAWAŁKIEWICZ,55
KAYSER,55
KAZIRODEK,55
KAZLOU,55
KAŁCZAK,55
KEREN,55
KIERAKOWICZ,55
KIŻUK,55
KLAWE,55
KOCIEŁ,55
KOCYAN,55
KOGOWSKI,55
KOKHAN,55
KOKOĆ,55
KOLATORSKI,55
KOLIADA,55
KOLIBABA,55
KONDRATIEV,55
KONDYSIAK,55
KONOBRODZKI,55
KOPISTECKI,55
KORKIEWICZ,55
KORNIEWICZ,55
KORYZMA,55
KOSTYSHYN,55
KOSUŃ,55
KOTUR,55
KOŚCIEJ,55
KRAUCKI,55
KROLIK,55
KROMOLICKI,55
KROPA,55
KRYG,55
KRYSTOFORSKI,55
KRYZHANOVSKYI,55
KRZYSZKIEWICZ,55
KRZYWOSZYŃSKI,55
KUBECZKA,55
KUCINA,55
KUCZEREPA,55
KUCZWALSKI,55
KUFLIKOWSKI,55
KUKLINSKI,55
KULESIK,55
KULGAWCZUK,55
KULS,55
KUNSZTOWICZ,55
KUŹ,55
KWEC,55
KŁAPCIŃSKI,55
KŁOCZEWIAK,55
KŁOPOTEK-GŁÓWCZEWSKI,55
LALKO,55
LAMBRYCH,55
LE VAN,55
LEMANEK,55
LESZMAN,55
LEWACKI,55
LIBUDZKI,55
LIER,55
LITEWNICKI,55
LITZBARSKI,55
LODARSKI,55
LOJTEK,55
LOWER,55
LULECZKA,55
LUSZCZYK,55
MADALSKI,55
MAGURA,55
MAINCZYK,55
MAJÓWKA,55
MAKAREVICH,55
MAKUTYNOWICZ,55
MALERCZYK,55
MALTAŃSKI,55
MALUK,55
MARKUN,55
MASIERA,55
MAŚCIDŁO,55
MEDWEDIUK,55
MELIBRUDA,55
MELOCH,55
MENC,55
MEZGLEWSKI,55
MIELECHOWICZ,55
MITSCHKE,55
MOSTOWIAK,55
MYRCZIK,55
MĄCIOR,55
MŁODAK,55
NAGOWSKI,55
NAJMUŁA,55
NAPIWOCKI,55
NAWOJOWSKI,55
NELKA,55
NIEPLA,55
NIEPOLSKI,55
NIEWADA,55
NIGBOROWICZ,55
NIKISZ,55
NIKSIŃSKI,55
NIŻEWSKI,55
NONCKIEWICZ,55
NOWATKIEWICZ,55
NYREK,55
OBALSKI,55
OBERLE,55
OMIATACZ,55
ONYŚKÓW,55
ORNACKI,55
OSADZIŃSKI,55
OSYPKA,55
OSZCZĘDŁOWSKI,55
OZIMSKI,55
OŹMINA,55
PACHUC,55
PACOŃ,55
PADUSIŃSKI,55
PAKLA,55
PANCHERZ,55
PASTERKIEWICZ,55
PATOLA,55
PATRUŚ,55
PATURALSKI,55
PAWEŁAS,55
PECEL,55
PELYKH,55
PERKOSZ,55
PERLICJAN,55
PETTA,55
PIEŁA,55
PIKALSKI,55
PISIŃSKI,55
PIWNICA,55
PLICKO,55
POCZEKAJŁO,55
PODDENEK,55
PODMAJSTRZY,55
POLAT,55
POLISZEWSKI,55
POMAŁECKI,55
POSTAWKA,55
PRADEL,55
PRAWICA,55
PROCELEWSKI,55
PROKOPIK,55
PRZEDBORSKI,55
PRZESŁAW,55
PRZYBYCIŃSKI,55
PSTRZOCH,55
PUKROP,55
PYRZEWSKI,55
PĄCHALSKI,55
PĄKLAK,55
RADEMACHER,55
RAJCZYKOWSKI,55
RAKOCZ,55
RAMUTKOWSKI,55
RAPCZEWSKI,55
RAPIEJKO,55
RASHID,55
REMBA,55
ROBINSON,55
ROMPSKI,55
ROTT,55
ROZIEL,55
ROZPENDEK,55
ROZTOCKI,55
RUDNYTSKYI,55
RUPRECHT,55
RYNKA,55
RZEMIENIAK,55
SACAŁA,55
SAJDOWSKI,55
SAKAŁUS,55
SAMBÓR,55
SANDOMIERZ,55
SAPIEŻKO,55
SARARA,55
SAWOŚKO,55
SCHEIBE,55
SEMKIW,55
SERWOŃSKI,55
SHCHERBA,55
SIEKANOWICZ,55
SIEMBRZUCH,55
SIEMIENKIEWICZ,55
SIEROŃSKI,55
SIERSZECKI,55
SIETNIK,55
SINDREWICZ,55
SIWICA,55
SIĘDA,55
SKARBOŃ,55
SKIPIOŁ,55
SKNADAJ,55
SKROUBA,55
SLEDZ,55
SLIUSAR,55
SMARUL,55
SMARZOCH,55
SMERCZEK,55
SMERLIŃSKI,55
SOJSKI,55
SOLDAT,55
SOPOREK,55
SPIKOWSKI,55
SPIRALSKI,55
STAJEWSKI,55
STANISŁAWCZUK,55
STARSZEWSKI,55
STASIURKA,55
STELMASHCHUK,55
STOLPA,55
STOPARCZYK,55
STREFLIK,55
STRZAŁKO,55
STRÓŻCZYK,55
SUBEL,55
SUCHAR,55
SUKIENNICKI,55
SUPRON,55
SURGOT,55
SURMIK,55
SUROWIK,55
SZAFARA,55
SZAROWOLEC,55
SZARYŃSKI,55
SZCZEKAŁA,55
SZCZERBANIEWICZ,55
SZCZERBIEŃ,55
SZCZYBURA,55
SZEREDA,55
SZLEMPO,55
SZPARAGOWSKI,55
SZTYBURSKI,55
SZUK,55
SZULAWSKI,55
SZWALIKOWSKI,55
SZYCHOWICZ,55
SŁUSZKIEWICZ,55
TARCHALSKI,55
TESZNAR,55
TITOV,55
TOCHWIN,55
TOMIAŁOJĆ,55
TRACKI,55
TRELEWICZ,55
TRZAJNA,55
TRZASKUŚ,55
TRZESZCZAK,55
TUMULKA,55
TYNIECKI,55
UFEL,55
UGODZIŃSKI,55
ULAK,55
URBACKA,55
VEREMCHUK,55
WAGAN,55
WAJDOWICZ,55
WALERIAŃSKI,55
WALICHNIEWICZ,55
WARYWODA,55
WATRAKIEWICZ,55
WAWRZKÓW,55
WAWSZKIEWICZ,55
WCISŁEK,55
WENGEL,55
WIELECKI,55
WILLNER,55
WITENBERG,55
WOJDASIEWICZ,55
WOJDASZKA,55
WOJNACH,55
WOJTYTO,55
WOLANICKI,55
WOLTMAN,55
WOSICKI,55
WUJCIÓW,55
WYSTUB,55
WŁADKOWSKI,55
WŁOCHAL,55
WŁOCHOWSKI,55
YUSHCHENKO,55
ZABOJSZCZ,55
ZALESIAK,55
ZANDROWICZ,55
ZASKALSKI,55
ZAWIŁOWICZ,55
ZDYBSKI,55
ZEMLA,55
ZESZUTEK,55
ZIMAKOWSKI,55
ZIĘBACZEWSKI,55
ZLEZARCZYK,55
ZYLKA,55
ZYZNAWSKI,55
ĆWIAN,55
ŁABIGA,55
ŁABUS,55
ŁACZEK,55
ŁADYŻYŃSKI,55
ŁEBZUCH,55
ŁEPKO,55
ŁOKIETKO,55
ŁUKIAN,55
ŚCIGA,55
ŚLOZOWSKI,55
ŚREMSKI,55
ŚRUTOWSKI,55
ŚWIZDOR,55
ŚWIĘTLICKI,55
ŻAWORONEK,55
ŻURKO,55
ŻUWAŁA,55
ŻYNGIEL,55
ŻYŻYK,55
ADAMICKI,54
ALABURDA,54
ALAGIERSKI,54
ANDRUSZEWICZ,54
ANDRZEJASZEK,54
ANISEROWICZ,54
APOSTOLUK,54
AREND,54
BABUSZKIEWICZ,54
BAMBROWICZ,54
BANACHIEWICZ,54
BANOWICZ,54
BARAŚ,54
BARCKI,54
BASZCZEWSKI,54
BAZAL,54
BAŁDO,54
BAŁĘCZNY,54
BECHCICKI,54
BEJ,54
BEJMOWICZ,54
BENEDYKT,54
BERMAN,54
BERTRAM,54
BIALUCHA,54
BIELACZYC,54
BIERCA,54
BIERCEWICZ,54
BIRUT,54
BISZCZUK,54
BODUŁA,54
BOLEWICKI,54
BORODEŃKO,54
BRABAŃSKI,54
BRASZCZYŃSKI,54
BUCHENFELD,54
BUDKO,54
BUDZIAŁOWSKI,54
BULSA,54
BURBLIS,54
BURJAŃSKI,54
BURMER,54
BURSIAK,54
BUSZOWSKI,54
BŁASZKOWIAK,54
BŹDZIKOT,54
CECKOWSKI,54
CETRA,54
CHABURA,54
CHABZDA,54
CHAROWSKI,54
CHOROSZEWICZ,54
CHRÓL,54
CHWYĆ,54
CHYMKOWSKI,54
CIABACH,54
CIEŚLAKIEWICZ,54
CIŹDZIEL,54
CURYŁŁO,54
CYKMAN,54
CYRKIEL,54
CYTLOCH,54
CZAPLIK,54
CZEŻYK,54
CZUBARA,54
CZUCHROWSKI,54
DARCZ,54
DIURCZAK,54
DOBIEGAŁA,54
DOLEWKA,54
DOLISTOWSKI,54
DORABIALSKI,54
DOŁĘŻKA,54
DRAPCZUK,54
DUBAK,54
DUDACY,54
DURAU,54
DURAŃCZYK,54
DYRBUSZ,54
DZBUK,54
DZIALUK,54
DĘTKOŚ,54
DŻUGAŁA,54
EICHNER,54
EJSMOND,54
FABIAŃCZUK,54
FELTYNOWSKI,54
FETELA,54
FIBIC,54
FIGLAREK,54
FIRAK,54
FLITTA,54
FOJA,54
FOLARON,54
FORST,54
FRIEDEL,54
FULKO,54
GABRIELSKI,54
GAJDUS,54
GALAN,54
GALEC,54
GALER,54
GALSKI,54
GARNIEC,54
GAWRYŁOW,54
GDESZ,54
GIBERT,54
GIDLEWSKI,54
GIERAŃCZYK,54
GIERYCZ,54
GOLENIEC,54
GOLUSIŃSKI,54
GOLWIEJ,54
GOTÓWKO,54
GRAJCZYŃSKI,54
GRANIS,54
GRAŻEWICZ,54
GREDYS,54
GRONCKI,54
GRYGIANIEC,54
GRZEGÓŁKA,54
GRZELUK,54
GUTOWICZ,54
GĘSICH,54
GĘSIORSKI,54
GŁUCHACZKA,54
HABASIŃSKI,54
HACHLICA,54
HAJBOS,54
HAJKIEWICZ,54
HARLEJCZYK,54
HATLAŚ,54
HEDER,54
HEJDYSZ,54
HELWIN,54
HENDRICH,54
HILGIER,54
HOBER,54
HOLLA,54
HOLOVATYI,54
HOSIAWA,54
HOSZ,54
HRUZIK,54
HUBALA,54
JABŁUSZEWSKI,54
JANCZULEWICZ,54
JANDER,54
JAROLEWSKI,54
JAŚCZAK,54
JERZAKOWSKI,54
JEWTUCH,54
JÓRASZ,54
JÓZKOWIAK,54
JĘDRZEJASZEK,54
KACZARA,54
KAJL,54
KAMAJ,54
KAMASA,54
KAMMER,54
KANTOROSIŃSKI,54
KAPŁANOWSKI,54
KARLEWSKI,54
KASHUBA,54
KASIAN,54
KASTEK,54
KAWAŁOWSKI,54
KELLAS,54
KEMPINSKI,54
KIDAJ,54
KIECZMERSKI,54
KIERCZUK,54
KISER,54
KIWILSZA,54
KIZIAK,54
KLABACHA,54
KLABAN,54
KLARENBACH,54
KLATKIEWICZ,54
KLEBANIUK,54
KLIMECZKO,54
KLIMOV,54
KLIMOVICH,54
KMETYK,54
KMIECICKI,54
KNEBA,54
KNOBLAUCH,54
KNOWA,54
KOBYLNIK,54
KOCZOCIK,54
KOKOSZ,54
KONIŃSKI,54
KOPTYRA,54
KOSTANA,54
KOTIUSZKO,54
KOTZ,54
KOWSZEWICZ,54
KOWTUN,54
KOZALA,54
KOZELA,54
KOZELAN,54
KOZIEL,54
KRAMARZEWSKI,54
KRANKIEWICZ,54
KREPSKI,54
KREPSZTUL,54
KROPOP,54
KRZYSZTAŁOWSKI,54
KRĘGOWSKI,54
KUCHCICKI,54
KUCZMARZ,54
KUCZNIER,54
KUDAN,54
KUDIN,54
KUJACZ,54
KUJAT,54
KULLAS,54
KUPCZEWSKI,54
KUPECKI,54
KURZDYM,54
